domain,logo_url,extraction_method,confidence_score,robots_txt
facebook.com,,,,
twitter.com,"data:image/svg+xml;base64,PHN2ZyByb2xlPSJpbWciIGFyaWEtbGFiZWw9IlggbG9nbyIgd2lkdGg9IjQ4IiBoZWlnaHQ9IjQ4IiB2aWV3Qm94PSIwIDAgMTI4IDEyOCIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIj4KICAgICAgICA8cGF0aCBmaWxsLXJ1bGU9ImV2ZW5vZGQiIGNsaXAtcnVsZT0iZXZlbm9kZCIgZD0iTTg2Ljg5MTggMjguMjVIOTkuMDIxOUw3Mi41MjQzIDU4LjUzMzRMMTAzLjY5OCA5OS43NUg3OS4yODVMNjAuMTY0NyA3NC43NTM2TDM4LjI5MjkgOTkuNzVIMjYuMTYyN0w1NC41MDY5IDY3LjM1NjVMMjQuNTkzOCAyOC4yNUg0OS42MTk5TDY2LjkwMDQgNTEuMDk3NEw4Ni44OTE4IDI4LjI1Wk04Mi42MzM3IDkyLjQ5MDRIODkuMzU1NUw0NS45NzE2IDM1LjEzMDFIMzguNzU4NEw4Mi42MzM3IDkyLjQ5MDRaIiBmaWxsPSJibGFjayIvPgogICAgICA8L3N2Zz4=",SVG_TAG,0.1,0
ask.com,https://www.ask.com/wp-content/themes/ask-2022/assets/images/site-logo.svg,IMG_TAG,0.9,0
att.com,"data:image/svg+xml;base64,PHN2ZyBoZWlnaHQ9Mjggdmlld0JveD0iMCAwIDk4IDMyIiB3aWR0aD04NS43NQp4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIGZpbGw9bm9uZSBjLWlkPTguMy4zLjA+PHBhdGggZD0iTTYxLjUxOSAyNS42MTU1QzYxLjgzMDEgMjUuNjE1NSA2Mi4wNDY1IDI1LjM5OTUgNjIuMDQ2NSAyNS4wODgyVjkuNjM0NjVINjcuMjkzQzY3LjYwNDMgOS42MzQ2NSA2Ny44MTk5IDkuNDE5MzEgNjcuODE5OSA5LjEwNzUzVjYuOTc2MkM2Ny44MTk5IDYuNjY0MiA2Ny42MDQzIDYuNDQ4NDIgNjcuMjkzIDYuNDQ4NDJINTMuMzI0NUM1My4wMTMgNi40NDg0MiA1Mi43OTc5IDYuNjY0MiA1Mi43OTc5IDYuOTc2MlY5LjEwNzUzQzUyLjc5NzkgOS40MTkzMSA1My4wMTMgOS42MzQ2NSA1My4zMjQ1IDkuNjM0NjVINTguNTcxNFYyNS4wODgyQzU4LjU3MTQgMjUuMzk5NSA1OC43ODc2IDI1LjYxNTUgNTkuMDk4MSAyNS42MTU1SDYxLjUxOVpNODUuNDI4MSAyNC45NDQ5Qzg1LjczOTkgMjUuMjgwNCA4NS41NDgzIDI1LjYxNTUgODUuMTYzOSAyNS42MTU1SDgyLjEyMTlDODEuNzE0NSAyNS42MTU1IDgxLjQ5ODMgMjUuNTE5OCA4MS4yMzQ3IDI1LjIwNzhMNzkuNDE0NSAyMy4xOTYyQzc4LjE5MzIgMjQuODI1MyA3Ni40OTA3IDI2LjA0NjkgNzMuNjY0MyAyNi4wNDY5QzcwLjE2NjMgMjYuMDQ2OSA2Ny40MTEgMjMuOTM4OSA2Ny40MTEgMjAuMzIxMUM2Ny40MTEgMTcuNTQxMyA2OC44OTY1IDE2LjA1NiA3MS4xNDg1IDE0LjgxMDJDNzAuMDQ2NyAxMy41NCA2OS41NDM0IDEyLjE5ODYgNjkuNTQzNCAxMS4wMjUxQzY5LjU0MzQgOC4wNTMzMSA3MS42Mjc5IDYuMDE3MDkgNzQuNzY2MSA2LjAxNzA5Qzc3Ljk3NyA2LjAxNzA5IDc5Ljk0MTIgNy45MTA2NSA3OS45NDEyIDEwLjcxMzVDNzkuOTQxMiAxMy4xMDg2IDc4LjIxNjUgMTQuNDUgNzYuMzk1MiAxNS40NTcxTDc5LjA3ODcgMTguMzU2Nkw4MC41ODgzIDE1LjcyMDJDODAuNzc5OSAxNS40MDkxIDgwLjk5NTYgMTUuMjg4OSA4MS4zNzg3IDE1LjI4ODlIODMuNzAyM0M4NC4wODYzIDE1LjI4ODkgODQuMzAxOSAxNS41NTM1IDg0LjA2MjcgMTUuOTYwMkw4MS4zNzg3IDIwLjU1OTVMODUuNDI4MSAyNC45NDQ5VjI0Ljk0NDlaTTc0LjgxNDEgOC45ODc3NkM3My41Njg3IDguOTg3NzYgNzIuODQ5OSA5Ljc3ODg3IDcyLjg0OTkgMTAuODMyOUM3Mi44NDk5IDExLjY0NzggNzMuMjgwNSAxMi4zNjY0IDc0LjI2MzIgMTMuNDIwNEM3NS45NjM5IDEyLjQzODIgNzYuNjgzIDExLjgzOTUgNzYuNjgzIDEwLjc4NTNDNzYuNjgzIDkuODAyNjUgNzYuMDYwNSA4Ljk4Nzc2IDc0LjgxNDEgOC45ODc3NlY4Ljk4Nzc2Wk03My43MzY1IDIzLjAyNzhDNzUuMjY5IDIzLjAyNzggNzYuMjk5NiAyMi4yODU1IDc3LjEzODMgMjEuMDE1OEw3My4yNTc2IDE2Ljg0NjRDNzEuNzcxNiAxNy42ODU1IDcwLjgxMjcgMTguNTIzMyA3MC44MTI3IDIwLjIwMDlDNzAuODEyNyAyMS44NTQ0IDcyLjE1NDMgMjMuMDI3OCA3My43MzY1IDIzLjAyNzhWMjMuMDI3OFpNNTUuMTI2NSAyNC45OTJDNTUuMjQ2MSAyNS4zMDQgNTUuMDU0NSAyNS42MTU1IDU0LjcxOTIgMjUuNjE1NUg1Mi4yMjc0QzUxLjg2ODMgMjUuNjE1NSA1MS42NTIxIDI1LjQ0ODIgNTEuNTMyNSAyNS4xMTE4TDUwLjExOSAyMS4wMzk1SDQyLjM4MTJMNDAuOTY2NSAyNS4xMTE4QzQwLjg0NyAyNS40NDgyIDQwLjYzMTIgMjUuNjE1NSA0MC4yNzIxIDI1LjYxNTVIMzcuOTI0M0MzNy42MTI3IDI1LjYxNTUgMzcuMzk3IDI1LjMwNCAzNy41MTcyIDI0Ljk5Mkw0NC4wMDk2IDYuOTI3NTNDNDQuMTI5OSA2LjU5MTc2IDQ0LjM0NTQgNi40NDg4NyA0NC43MDQxIDYuNDQ4ODdINDcuOTE1QzQ4LjI3NDEgNi40NDg4NyA0OC41MTMyIDYuNTkxNzYgNDguNjMzNCA2LjkyNzUzTDU1LjEyNjUgMjQuOTkyVjI0Ljk5MlpNNDkuMDE2NyAxNy45MDA5TDQ2LjI2MTkgOS45OTQ0Mkw0My40ODIzIDE3LjkwMDlINDkuMDE2N1pNODkuMjEzNCAyNS42MTU1Qzg4LjkwMjEgMjUuNjE1NSA4OC42ODcgMjUuMzk5NSA4OC42ODcgMjUuMDg4MlY5LjYzNDY1SDgzLjQzOTJDODMuMTI3NCA5LjYzNDY1IDgyLjkxMjMgOS40MTkzMSA4Mi45MTIzIDkuMTA3NTNWNi45NzYyQzgyLjkxMjMgNi42NjQyIDgzLjEyNzQgNi40NDg0MiA4My40MzkyIDYuNDQ4NDJIOTcuNDA3NkM5Ny43MTkgNi40NDg0MiA5Ny45MzM5IDYuNjY0MiA5Ny45MzM5IDYuOTc2MlY5LjEwNzUzQzk3LjkzMzkgOS40MTkzMSA5Ny43MTkgOS42MzQ2NSA5Ny40MDc2IDkuNjM0NjVIOTIuMTYwNVYyNS4wODgyQzkyLjE2MDUgMjUuMzk5NSA5MS45NDQ3IDI1LjYxNTUgOTEuNjMzNiAyNS42MTU1SDg5LjIxMzRWMjUuNjE1NVoiCmZpbGw9IzEzMTcxQiBjLWlkPTguNC40LjA+PC9wYXRoPjxwYXRoIGQ9Ik0yNC4xODQyIDIuMjU1NzhDMjEuNzg2NCAwLjgxNzc3OCAxOS4wMDIyIDAgMTYuMDAwMiAwQzEyLjk3NzEgMCAxMC4xMDg5IDAuODQ2ODg5IDcuNzAyNDQgMi4zMjI2N0M2Ljk4MTExIDIuNzY2ODkgNi41NzQ0NCAzLjEyMzU2IDYuNTc0NDQgMy41ODA2N0M2LjU3NDQ0IDQuOTMwODkgOS43MjczMyA2LjM4MTU2IDE1LjMyMDcgNi4zODE1NkMyMC44NTU4IDYuMzgxNTYgMjUuMTQ4OSA0Ljc5MjIyIDI1LjE0ODkgMy4yNjJDMjUuMTQ4OSAyLjg5NzExIDI0LjgzMDIgMi42NDEzMyAyNC4xODQyIDIuMjU1NzhNMjYuNTY2MiA0LjAzMzMzQzI2LjYzMzMgNC4xMzgyMiAyNi42NjY5IDQuMjUxMzMgMjYuNjY2OSA0LjQwMjIyQzI2LjY2NjkgNi4xODAyMiAyMS4yMjg3IDkuMzI0ODkgMTIuNTcwNCA5LjMyNDg5QzYuMjA5MzMgOS4zMjQ4OSA1LjAxODg5IDYuOTY0MjIgNS4wMTg4OSA1LjQ2Mjg5QzUuMDE4ODkgNC45MjYyMiA1LjIyNDQ0IDQuMzc3MTEgNS42NzczMyAzLjgxOTc4QzUuNzAyNjcgMy43ODYgNS42ODEzMyAzLjc3MzMzIDUuNjUyMjIgMy43OTg2N0M0LjgyNjIyIDQuNDk4NjcgNC4wNjcxMSA1LjI4Njg5IDMuNDAwNjcgNi4xMzg0NEMzLjA4MiA2LjU0MDg5IDIuODg0NjcgNi44OTczMyAyLjg4NDY3IDcuMTEwODlDMi44ODQ2NyAxMC4yMjIgMTAuNjgzMyAxMi40Nzc4IDE3Ljk3NDkgMTIuNDc3OEMyNS43NDQyIDEyLjQ3NzggMjkuMjEyIDkuOTQxMTEgMjkuMjEyIDcuNzEwNjdDMjkuMjEyIDYuOTEzNzggMjguOTAyIDYuNDQ4NDQgMjguMTA5MSA1LjU0Njg5QzI3LjU5MzYgNC45NiAyNy4xMDY5IDQuNDgyMjIgMjYuNTkxNiA0LjAxMjIyQzI2LjU2NjIgMy45OTE1NiAyNi41NDkxIDQuMDA4MjIgMjYuNTY2MiA0LjAzMzMzTTEuNTQyNjcgOS4xMzZDMS4wNzM3OCAxMC4wNjcxIDAuNTUzNzc4IDExLjYzOTEgMC4zOTg2NjcgMTIuNDUyNEMwLjMzMTExMSAxMi44MDA5IDAuMzYwNDQ0IDEyLjk2ODIgMC40ODIyMjIgMTMuMjI4NEMxLjQ2Mzc4IDE1LjMxMjIgNi40MjggMTguNjQ1OCAxOC4wMDg3IDE4LjY0NThDMjUuMDczMyAxOC42NDU4IDMwLjU2MiAxNi45MDk2IDMxLjQ1MDkgMTMuNzQwMkMzMS42MTQ0IDEzLjE1NjkgMzEuNjIzMSAxMi41NDA3IDMxLjQxMzEgMTEuNzEwN0MzMS4xNzggMTAuNzgzNiAzMC43MzggOS43MDIyMiAzMC4zNjUxIDguOTQzMzNDMzAuMzUyNyA4LjkxOCAzMC4zMzEzIDguOTIyMjIgMzAuMzM1MyA4Ljk1MTMzQzMwLjQ3MzggMTMuMTA2OSAxOC44ODkxIDE1Ljc4NiAxMy4wNDQgMTUuNzg2QzYuNzEyNjcgMTUuNzg2IDEuNDMgMTMuMjYyIDEuNDMgMTAuMDc1MUMxLjQzIDkuNzY5MTEgMS40OTI4OSA5LjQ2MzExIDEuNTcyNDQgOS4xNDQ0NEMxLjU4MDQ0IDkuMTE1MzMgMS41NTUzMyA5LjExMDY3IDEuNTQyNjcgOS4xMzZNMTIuNzg0MiAyMi40MTQ3QzQuNTk1NzggMjIuNDE0NyAwLjczNCAxOC41OTk2IDAuMDMzNzc3OCAxNS45OTU4QzAuMDI1MTExMSAxNS45NTc2IDAgMTUuOTY2MiAwIDE2QzAgMTYuODc2MiAwLjA4OCAxOC4wMDggMC4yMzkxMTEgMTguNzU4N0MwLjMxMDY2NyAxOS4xMjM2IDAuNjA4IDE5LjY5OCAxLjA0NCAyMC4xNTQ5QzMuMDI3MTEgMjIuMjIyMiA3Ljk3MDY3IDI1LjExOTMgMTYuNTMyMiAyNS4xMTkzQzI4LjE5NzEgMjUuMTE5MyAzMC44NjQgMjEuMjMyNyAzMS40MDg3IDE5Ljk1MzhDMzEuNzk4NyAxOS4wMzk4IDMyIDE3LjM4NzYgMzIgMTZDMzIgMTUuNjY0MiAzMS45OTEzIDE1LjM5NiAzMS45Nzg5IDE1LjEzMkMzMS45Nzg5IDE1LjA4OTggMzEuOTU0MiAxNS4wODYgMzEuOTQ1NiAxNS4xMjc2QzMxLjM2MjcgMTguMjU1OCAyMS4zOTYyIDIyLjQxNDcgMTIuNzg0MiAyMi40MTQ3TTE3LjA4NiAyOS40NTQ3QzIxLjAyMzMgMjkuNDU0NyAyNS4zNTAyIDI4LjM4MTMgMjcuOTM3MyAyNi4yNTU2QzI4LjY0NTYgMjUuNjc3MSAyOS4zMjA3IDI0LjkwNTggMjkuOTI0NyAyMy44N0MzMC4yNzI0IDIzLjI3NDQgMzAuNjEyMiAyMi41NjYgMzAuODg5MSAyMS44N0MzMC45MDE4IDIxLjgzNjQgMzAuODgwNCAyMS44MTk4IDMwLjg1NTMgMjEuODU3M0MyOC40NDg5IDI1LjQwMDIgMjEuNDgwNCAyNy42MDk2IDE0LjI4NTMgMjcuNjA5NkM5LjE5OTMzIDI3LjYwOTYgMy43MjczMyAyNS45ODMxIDEuNTg1MTEgMjIuODc2MkMxLjU2NCAyMi44NDY5IDEuNTQyNjcgMjIuODU5NiAxLjU1NTMzIDIyLjg5MjlDMy41NTE3OCAyNy4xMzYgOS42MDYyMiAyOS40NTQ3IDE3LjA4NiAyOS40NTQ3TTYuMTg4ODkgMjguNjM3MUM4LjkwMTMzIDMwLjczNzggMTIuMzA2MiAzMiAxNi4wMDAyIDMyQzIwLjA0MjIgMzIgMjMuNzI3OCAzMC40OTg3IDI2LjU0MDQgMjguMDMzNkMyNi41NzQyIDI4LjAwMzggMjYuNTU3OCAyNy45ODMxIDI2LjUyNDQgMjguMDAzOEMyNS4yNjIgMjguODQ2OSAyMS42NjQ0IDMwLjY4NzYgMTYuMDAwMiAzMC42ODc2QzExLjA3NzMgMzAuNjg3NiA3Ljk2NjY3IDI5LjU4ODkgNi4yMDkzMyAyOC42MDc4QzYuMTc2MjIgMjguNTkxMyA2LjE2MzU2IDI4LjYxNjQgNi4xODg4OSAyOC42MzcxIgpmaWxsPSMwMDlGREIgYy1pZD04LjUuNC4xPjwvcGF0aD48L3N2Zz4=",SVG_TAG,0.10000000000000003,0
go.com,https://lumiere-a.akamaihd.net/v1/images/left_button_1_0c488898.svg?region=0%2C0%2C32%2C33,IMG_TAG,0.8,1
indeed.com,,,,
verizonwireless.com,"data:image/svg+xml;base64,PHN2ZyBpZD0iRWJlbmVfMSIgZGF0YS1uYW1lPSJFYmVuZSAxIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZpZXdCb3g9IjAgMCAxMDI0IDEwMTcuNzgiPjxwYXRoIGZpbGw9IiNmZmYiIGQ9Ik0xMDI0LDUxMkMxMDI0LDIyOS4yMyw3OTQuNzcsMCw1MTIsMFMwLDIyOS4yMywwLDUxMmMwLDI1NS41NSwxODcuMjMsNDY3LjM3LDQzMiw1MDUuNzh2LTM1Ny43OGgtMTMwdi0xNDhoMTMwdi0xMTIuOGMwLTEyOC4zMiw3Ni40NC0xOTkuMiwxOTMuMzktMTk5LjIsNTYuMDIsMCwxMTQuNjEsMTAsMTE0LjYxLDEwdjEyNmgtNjQuNTZjLTYzLjYsMC04My40NCwzOS40Ny04My40NCw3OS45NnY5Ni4wNGgxNDJsLTIyLjcsMTQ4aC0xMTkuM3YzNTcuNzhjMjQ0Ljc3LTM4LjQxLDQzMi0yNTAuMjIsNDMyLTUwNS43OFoiLz48L3N2Zz4=",SVG_TAG,0.10000000000000003,0
godaddy.com,,,,
directv.com,,,,
whitepages.com,,,,
